survey_row,xlsform_name,xlsform_type,base_type,label_en,choice_list,target_list,target_columns,required_in_app,required_in_sharepoint,relevance,constraint,choice_filter,storage_strategy
241,aquaponics_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,aquaponics_im,yes,no,,,,scalar input field
242,aquaponics_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,aquaponics_if,yes,no,,,,scalar input field
245,aquaponics_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,aquaponics_iy,yes,no,,,,scalar input field
248,marketing_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,marketing_dm,yes,no,,,,scalar input field
249,marketing_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,marketing_df,yes,no,,,,scalar input field
252,marketing_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,marketing_dy,yes,no,,,,scalar input field
253,marketing_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,marketing_im,yes,no,,,,scalar input field
254,marketing_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,marketing_if,yes,no,,,,scalar input field
257,marketing_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,marketing_iy,yes,no,,,,scalar input field
260,consumption_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,consumption_dm,yes,no,,,,scalar input field
261,consumption_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,consumption_df,yes,no,,,,scalar input field
264,consumption_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,consumption_dy,yes,no,,,,scalar input field
265,consumption_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,consumption_im,yes,no,,,,scalar input field
266,consumption_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,consumption_if,yes,no,,,,scalar input field
269,consumption_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,consumption_iy,yes,no,,,,scalar input field
272,training_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,training_dm,yes,no,,,,scalar input field
273,training_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,training_df,yes,no,,,,scalar input field
276,training_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,training_dy,yes,no,,,,scalar input field
277,training_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,training_im,yes,no,,,,scalar input field
278,training_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,training_if,yes,no,,,,scalar input field
281,training_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,training_iy,yes,no,,,,scalar input field
284,aracsa_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,aracsa_dm,yes,no,,,,scalar input field
285,aracsa_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,aracsa_df,yes,no,,,,scalar input field
288,aracsa_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,aracsa_dy,yes,no,,,,scalar input field
289,aracsa_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,aracsa_im,yes,no,,,,scalar input field
290,aracsa_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,aracsa_if,yes,no,,,,scalar input field
293,aracsa_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,aracsa_iy,yes,no,,,,scalar input field
296,other_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,other_dm,yes,no,,,,scalar input field
297,other_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,other_df,yes,no,,,,scalar input field
