survey_row,xlsform_name,xlsform_type,base_type,label_en,choice_list,target_list,target_columns,required_in_app,required_in_sharepoint,relevance,constraint,choice_filter,storage_strategy
165,postharvest_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,postharvest_df,yes,no,,,,scalar input field
168,postharvest_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,postharvest_dy,yes,no,,,,scalar input field
169,postharvest_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,postharvest_im,yes,no,,,,scalar input field
170,postharvest_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,postharvest_if,yes,no,,,,scalar input field
173,postharvest_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,postharvest_iy,yes,no,,,,scalar input field
176,storage_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,storage_dm,yes,no,,,,scalar input field
177,storage_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,storage_df,yes,no,,,,scalar input field
180,storage_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,storage_dy,yes,no,,,,scalar input field
181,storage_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,storage_im,yes,no,,,,scalar input field
182,storage_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,storage_if,yes,no,,,,scalar input field
185,storage_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,storage_iy,yes,no,,,,scalar input field
188,transport_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,transport_dm,yes,no,,,,scalar input field
189,transport_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,transport_df,yes,no,,,,scalar input field
192,transport_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,transport_dy,yes,no,,,,scalar input field
193,transport_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,transport_im,yes,no,,,,scalar input field
194,transport_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,transport_if,yes,no,,,,scalar input field
197,transport_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,transport_iy,yes,no,,,,scalar input field
200,processing_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,processing_dm,yes,no,,,,scalar input field
201,processing_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,processing_df,yes,no,,,,scalar input field
204,processing_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,processing_dy,yes,no,,,,scalar input field
205,processing_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,processing_im,yes,no,,,,scalar input field
206,processing_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,processing_if,yes,no,,,,scalar input field
209,processing_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,processing_iy,yes,no,,,,scalar input field
212,aquaculture_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,aquaculture_dm,yes,no,,,,scalar input field
213,aquaculture_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,aquaculture_df,yes,no,,,,scalar input field
216,aquaculture_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,aquaculture_dy,yes,no,,,,scalar input field
217,aquaculture_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,aquaculture_im,yes,no,,,,scalar input field
218,aquaculture_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,aquaculture_if,yes,no,,,,scalar input field
221,aquaculture_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,aquaculture_iy,yes,no,,,,scalar input field
224,landing_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,landing_dm,yes,no,,,,scalar input field
225,landing_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,landing_df,yes,no,,,,scalar input field
228,landing_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,landing_dy,yes,no,,,,scalar input field
229,landing_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,landing_im,yes,no,,,,scalar input field
230,landing_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,landing_if,yes,no,,,,scalar input field
233,landing_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,landing_iy,yes,no,,,,scalar input field
236,aquaponics_dm,integer,integer,Direct Male Beneficiaries,,TACATDP_Beneficiaries,aquaponics_dm,yes,no,,,,scalar input field
237,aquaponics_df,integer,integer,Direct Female Beneficiaries,,TACATDP_Beneficiaries,aquaponics_df,yes,no,,,,scalar input field
240,aquaponics_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,aquaponics_dy,yes,no,,,,scalar input field
