project_code,instrument_code,version_code,group_code,source_screen,field_code,source_survey_row,display_order,label_en,label_sw,hint_en,data_type,xlsform_type,base_type,required_mode,required_in_app,required_in_dataverse,choice_scheme_code,selection_mode,relevance_expression,constraint_expression,constraint_message,choice_filter,default_value,appearance,answer_storage_table,answer_storage_strategy,source_target_list,source_target_columns,source_file
tacatdp,impact_evaluation,phase3_source_v1,screen_03_resource_efficiency,Screen_03_resource_efficiency,baseline_yield,51,34,Baseline Yield (kg/acre),Mavuno ya Awali (kg/eka),,WholeNumber,integer,integer,RequiredIfVisible,yes,no,,,,. >= 0,,,,,mp_AnswerValue,scalar input field,TACATDP_ResourceEfficiency,baseline_yield,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_03_resource_efficiency,Screen_03_resource_efficiency,yield_after,52,35,Yield After TACATDP ARA Diployment (kg/acre),Mavuno Baada ya Utekelezaji wa Teknolojia ya TACATDP ARA (kg/eka),,WholeNumber,integer,integer,RequiredIfVisible,yes,no,,,,. >= ${baseline_yield},,,,,mp_AnswerValue,scalar input field,TACATDP_ResourceEfficiency,yield_after,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_04_social_inclusion,Screen_04_social_inclusion,farmer_group_member,57,36,Is farmer a member of a Farmer Group?,"Je, mkulima ni mwanachama wa Kikundi cha Wakulima?",,LookupVocabularyTerm,select_one Yes_No,select_one,RequiredIfVisible,yes,no,yes_no,Single,,,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_SocialInclusion,farmer_group_memberValue;farmer_group_memberLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_04_social_inclusion,Screen_04_social_inclusion,farmer_group_type,58,37,Farmer Group Type,Aina ya Kikundi cha Wakulima,,LookupVocabularyTerm,select_one group_type,select_one,RequiredIfVisible,yes,no,group_type,Single,${farmer_group_member}='1',,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_SocialInclusion,farmer_group_typeValue;farmer_group_typeLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_04_social_inclusion,Screen_04_social_inclusion,male_members,59,38,Male Group Members,Idadi ya Wanachama wa Kiume,,WholeNumber,integer,integer,RequiredIfVisible,yes,no,,,${farmer_group_member}='1',. >= 0,,,,,mp_AnswerValue,scalar input field,TACATDP_SocialInclusion,male_members,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_04_social_inclusion,Screen_04_social_inclusion,female_members,60,39,Female Group Members,Idadi ya Wanachama wa Kike,,WholeNumber,integer,integer,RequiredIfVisible,yes,no,,,${farmer_group_member}='1',. >= 0,,,,,mp_AnswerValue,scalar input field,TACATDP_SocialInclusion,female_members,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_04_social_inclusion,Screen_04_social_inclusion,youth_members,62,40,Youth (18-35) Group Members,Idadi ya Wanachama Vijana (Miaka 18-35),,WholeNumber,integer,integer,RequiredIfVisible,yes,no,,,${farmer_group_member}='1',. >= 1 and . <= ${total_members},,,,,mp_AnswerValue,scalar input field,TACATDP_SocialInclusion,youth_members,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_05_household_quantification,Screen_05_household_quantification,hh_male,69,41,Number of MALE household members,Idadi ya Wanakaya wa Kiume,,WholeNumber,integer,integer,RequiredIfVisible,yes,no,,,,. >= 0,,,,,mp_AnswerValue,scalar input field,TACATDP_SocialInclusion,hh_male,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_05_household_quantification,Screen_05_household_quantification,hh_female,70,42,Number of FEMALE household members,Idadi ya Wanakaya wa Kike,,WholeNumber,integer,integer,RequiredIfVisible,yes,no,,,,. >= 0,,,,,mp_AnswerValue,scalar input field,TACATDP_SocialInclusion,hh_female,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_05_household_quantification,Screen_05_household_quantification,hh_head_gender,73,43,Head of Household Gender,Jinsia ya Mkuu wa Kaya,,LookupVocabularyTerm,select_one Gender,select_one,RequiredIfVisible,yes,no,gender,Single,,,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_SocialInclusion,hh_head_genderValue;hh_head_genderLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_05_household_quantification,Screen_05_household_quantification,women_decision,74,44,Are women direct decision-makers in ARA investment use?,"Je, wanawake ni waamuzi wa moja kwa moja katika matumizi ya uwekezaji wa uwekezaji wa ARA?",,LookupVocabularyTerm,select_one Yes_No,select_one,RequiredIfVisible,yes,no,yes_no,Single,,,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_SocialInclusion,women_decisionValue;women_decisionLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_06_training_gap,Screen_06_training_gap,ara_training,78,45,Did individual or farmer group receive ARA training?,"Je, mtu binafsi au kikundi cha wakulima kilipata mafunzo ya ARA?",,LookupVocabularyTerm,select_one Yes_No,select_one,RequiredIfVisible,yes,no,yes_no,Single,,,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_SocialInclusion,ara_trainingValue;ara_trainingLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_06_training_gap,Screen_06_training_gap,training_type,79,46,Type of Training Received,Aina ya Mafunzo Yaliyopokelewa,,MultiSelectVocabularyTermRows,select_multiple training_type,select_multiple,RequiredIfVisible,yes,no,training_type,Multiple,${ara_training}='1',,,,,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_06_training_gap,Screen_06_training_gap,target_group,80,47,Target Groups Covered,Makundi Lengwa Yaliyofikiwa,,MultiSelectVocabularyTermRows,select_multiple target_group,select_multiple,RequiredIfVisible,yes,no,target_group,Multiple,${ara_training}='1',count-selected(.) >= 1,,,,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_06_training_gap,Screen_06_training_gap,male_trained,81,48,Number of MALE farmers trained,Idadi ya Wakulima wa Kiume Waliofundishwa,,WholeNumber,integer,integer,RequiredIfVisible,yes,no,,,${ara_training}='1',. >= 0,,,,,mp_AnswerValue,scalar input field,TACATDP_SocialInclusion,male_trained,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_06_training_gap,Screen_06_training_gap,female_trained,82,49,Number of FEMALE farmers trained,Idadi ya Wakulima wa Kike Waliofundishwa,,WholeNumber,integer,integer,RequiredIfVisible,yes,no,,,${ara_training}='1',. >= 0,,,,,mp_AnswerValue,scalar input field,TACATDP_SocialInclusion,female_trained,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_06_training_gap,Screen_06_training_gap,gender_content,85,50,Was gender-responsive content included?,"Je, maudhui yanayozingatia usawa wa kijinsia yalijumuishwa?",,LookupVocabularyTerm,select_one Yes_No,select_one,RequiredIfVisible,yes,no,yes_no,Single,${ara_training}='1',,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_SocialInclusion,gender_contentValue;gender_contentLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_06_training_gap,Screen_06_training_gap,gender_focus,86,51,Brief gender focus description,Maelezo Mafupi ya Mwelekeo wa Kijinsia,,LookupVocabularyTerm,select_one gender_focus,select_one,RequiredIfVisible,yes,no,gender_focus,Single,${ara_training}='1',,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_SocialInclusion,gender_focusValue;gender_focusLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_07_beneficiaries_overview,Screen_07_beneficiaries_overview,vc_stages,90,52,What are Value Chain Stages activities involved in this project?,"Je, ni shughuli gani zinazotekelezwa katika kila hatua ya mnyororo wa thamani wa mradi huu?",,MultiSelectVocabularyTermRows,select_multiple vc_stages,select_multiple,RequiredIfVisible,yes,no,vc_stages,Multiple,,,,,,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_08_farm_preparation,Screen_08_farm_preparation,farm_preparation_dm,92,53,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,WholeNumber,integer,integer,RequiredIfVisible,yes,no,,,,,,,0,,mp_AnswerValue,scalar input field,TACATDP_Beneficiaries,farm_preparation_dm,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
