ChoiceValue,LabelEn,LabelSw,RegionValue,DistrictValue,SortOrder
516,Bwongera,Bwongera,4,23,516
517,Bukome,Bukome,4,23,517
518,Katende,Katende,4,23,518
519,Ilyamchele,Ilyamchele,4,23,519
520,Chato,Chato,4,23,520
521,Bwina,Bwina,4,23,521
522,Muungano,Muungano,4,23,522
523,Bukoli,Bukoli,4,24,523
524,Butobela,Butobela,4,24,524
525,Busanda,Busanda,4,24,525
526,Kamena,Kamena,4,24,526
527,Nyalwanzaja,Nyalwanzaja,4,24,527
528,Rwamgasa,Rwamgasa,4,24,528
529,Nyakamwaga,Nyakamwaga,4,24,529
530,Nyamalimbe,Nyamalimbe,4,24,530
531,Bujula,Bujula,4,24,531
532,Nyarugusu,Nyarugusu,4,24,532
533,Nyaruyeye,Nyaruyeye,4,24,533
534,Bukondo,Bukondo,4,24,534
535,Chigunga,Chigunga,4,24,535
536,Nyamwilolelwa,Nyamwilolelwa,4,24,536
537,Kaseme,Kaseme,4,24,537
538,Magenge,Magenge,4,24,538
539,Nyachiluluma,Nyachiluluma,4,24,539
540,Butundwe,Butundwe,4,24,540
541,Nyakagomba,Nyakagomba,4,24,541
542,Kamhanga,Kamhanga,4,24,542
543,Bugalama,Bugalama,4,24,543
544,Lubanga,Lubanga,4,24,544
545,Isulwabutundwe,Isulwabutundwe,4,24,545
546,Bugulula,Bugulula,4,24,546
547,Nyawilimilwa,Nyawilimilwa,4,24,547
548,Kagu,Kagu,4,24,548
549,Nkome,Nkome,4,24,549
550,Izumacheli,Izumacheli,4,24,550
551,Katoma,Katoma,4,24,551
552,Nyamboge,Nyamboge,4,24,552
553,Nzera,Nzera,4,24,553
554,Lwenzera,Lwenzera,4,24,554
555,Senga,Senga,4,24,555
556,Kakubilo,Kakubilo,4,24,556
557,Katoro,Katoro,4,24,557
558,,,4,24,558
559,Ludete,Ludete,4,24,559
560,Nyamigota,Nyamigota,4,24,560
561,Mbogwe,Mbogwe,4,25,561
562,Nanda,Nanda,4,25,562
563,Nyasato,Nyasato,4,25,563
564,Ngemo,Ngemo,4,25,564
565,Ushirika,Ushirika,4,25,565
566,Bunigonzi,Bunigonzi,4,25,566
567,Ikunguigazi,Ikunguigazi,4,25,567
568,Lulembela,Lulembela,4,25,568
569,Ilolangulu,Ilolangulu,4,25,569
570,Ikobe,Ikobe,4,25,570
571,Isebya,Isebya,4,25,571
572,Masumbwe,Masumbwe,4,25,572
573,Nyakafulu,Nyakafulu,4,25,573
574,Nhomolwa,Nhomolwa,4,25,574
575,Bukandwe,Bukandwe,4,25,575
576,Lugunga,Lugunga,4,25,576
577,Iponya,Iponya,4,25,577
578,Bukwimba,Bukwimba,4,26,578
579,,,4,26,579
580,Nundu,Nundu,4,26,580
581,Kafita,Kafita,4,26,581
582,Kharumwa,Kharumwa,4,26,582
583,Izunya,Izunya,4,26,583
584,Nyugwa,Nyugwa,4,26,584
585,Nyijundu,Nyijundu,4,26,585
586,Kakora,Kakora,4,26,586
587,Nyamtukuza,Nyamtukuza,4,26,587
588,Busolwa,Busolwa,4,26,588
589,Kaboha,Kaboha,4,26,589
590,Nyang'hwale,Nyang'hwale,4,26,590
591,Shabaka,Shabaka,4,26,591
592,Mwingiro,Mwingiro,4,26,592
593,Nyabulanda,Nyabulanda,4,26,593
594,Mtwivila,Mtwivila,5,27,594
595,Mkimbizi,Mkimbizi,5,27,595
596,Makorongoni,Makorongoni,5,27,596
597,Kihesa,Kihesa,5,27,597
598,Mkwawa,Mkwawa,5,27,598
599,Kitwiru,Kitwiru,5,27,599
600,Ruaha,Ruaha,5,27,600
601,Igumbilo,Igumbilo,5,27,601
602,Isakalilo,Isakalilo,5,27,602
603,Mwangata,Mwangata,5,27,603
604,,,5,27,604
605,Ilala,Ilala,5,27,605
606,Gangilonga,Gangilonga,5,27,606
607,Kwakilosa,Kwakilosa,5,27,607
608,Mivinjeni,Mivinjeni,5,27,608
609,Mlandege,Mlandege,5,27,609
610,Mshindo,Mshindo,5,27,610
611,Nduli,Nduli,5,27,611
612,Kitanzini,Kitanzini,5,27,612
613,Boma,Boma,5,28,613
614,Wambi,Wambi,5,28,614
615,Kinyanambo,Kinyanambo,5,28,615
616,Upendo,Upendo,5,28,616
617,Sao Hill,Sao Hill,5,28,617
618,Changarawe,Changarawe,5,28,618
619,Rungemba,Rungemba,5,28,619
620,Isalavanu,Isalavanu,5,28,620
621,Bumilayinga,Bumilayinga,5,28,621
622,Idete,Idete,5,29,622
623,Kimala,Kimala,5,29,623
624,Ukwega,Ukwega,5,29,624
625,Kising'a,Kising'a,5,29,625
626,Ukumbi,Ukumbi,5,29,626
627,Ng'uruhe,Ng'uruhe,5,29,627
628,Dabaga,Dabaga,5,29,628
629,Ng'ang'ange,Ng'ang'ange,5,29,629
630,Mtitu,Mtitu,5,29,630
631,Ihimbo,Ihimbo,5,29,631
632,Bomalang'ombe,Bomalang'ombe,5,29,632
633,Masisiwe,Masisiwe,5,29,633
634,Mahenge,Mahenge,5,29,634
635,Nyanzwa,Nyanzwa,5,29,635
636,Ruaha Mbuyuni,Ruaha Mbuyuni,5,29,636
637,Udekwa,Udekwa,5,29,637
638,Image,Image,5,29,638
639,Ibumu,Ibumu,5,29,639
640,Irole,Irole,5,29,640
641,Lugalo,Lugalo,5,29,641
642,Uhambingeto,Uhambingeto,5,29,642
643,Ilula,Ilula,5,29,643
644,Nyalumbu,Nyalumbu,5,29,644
645,Mlafu,Mlafu,5,29,645
646,Maboga,Maboga,5,30,646
647,Kihanga,Kihanga,5,30,647
648,Ifunda,Ifunda,5,30,648
649,Lumuli,Lumuli,5,30,649
650,Wasa,Wasa,5,30,650
651,Malengamakali,Malengamakali,5,30,651
652,Kihorogota,Kihorogota,5,30,652
653,Kising'a,Kising'a,5,30,653
654,Nyang'oro,Nyang'oro,5,30,654
655,Izazi,Izazi,5,30,655
656,Migoli,Migoli,5,30,656
657,Mahuninga,Mahuninga,5,30,657
658,Idodi,Idodi,5,30,658
659,Mlowa,Mlowa,5,30,659
660,Ulanda,Ulanda,5,30,660
661,Kalenga,Kalenga,5,30,661
662,Nzihi,Nzihi,5,30,662
663,Kiwere,Kiwere,5,30,663
664,Itunundu,Itunundu,5,30,664
665,Mboliboli,Mboliboli,5,30,665
666,Ilolompya,Ilolompya,5,30,666
